stock1,stock2,coint_score,pvalue,correlation
BDX,PAYX,-5.0778215743192,0.00011812843456851613,0.6405399736448253
BDX,D,-5.075280254649704,0.0001194256581475084,0.656362332010149
BDX,WTW,-5.073320047525801,0.00012043553464047852,0.6196553291589789
BDX,WM,-5.07191806328747,0.00012116281821380453,0.6392795314096232
DECK,TT,-5.0642336054868275,0.00012522424309143924,0.9789555820637693
GDDY,NSC,-5.063907732000926,0.00012539931672282136,0.6414140457256909
BBY,SWKS,-5.061372587220616,0.00012676931174782161,0.9431927669615788
BDX,CME,-5.058382214840294,0.00012840368273060607,0.6640956817515554
RCL,VRTX,-5.053372526944525,0.0001311868663115412,-0.7615996437884864
BDX,CHD,-5.051098661131992,0.0001324690491493063,0.6595338105878229
BDX,DG,-5.0472346410081785,0.0001346753600923845,0.6224631360199058
IEX,TT,-5.042610013600221,0.00013736207995087177,0.9712243335676616
HLT,MLM,-5.040317785689345,0.0001387126533593078,0.9652324618234774
ADBE,DLR,-5.039151886882217,0.00013940444889520362,0.9338958681946866
BDX,RSG,-5.036552572360304,0.00014095864212208852,0.6340262589109419
GOOGL,KKR,-5.03275141672894,0.00014326123715461913,0.984922644880931
BKNG,IP,-5.0213336085871845,0.00015039541047212832,0.825976596876639
AEP,VTRS,-5.018887302932887,0.00015196739196158223,-0.88124058547153
BDX,DXCM,-5.015773651847795,0.0001539908730674421,0.6235331072265982
EG,GL,-5.014550656940119,0.00015479267043746396,0.8883465020439705
BDX,KO,-5.0138521166938,0.0001552524186627813,0.68602518668022
FAST,MSFT,-5.013073792263731,0.00015576621045066107,0.9832581311285209
BDX,TDG,-5.006354230499493,0.0001602698687387263,0.6785925467449416
GOOG,KKR,-4.999464323351637,0.00016501641134463826,0.9849135203308913
BDX,DGX,-4.997772479539018,0.0001662022635546254,0.5726981866243689
DTE,PEG,-4.992735855758944,0.0001697808027602592,0.9735892678042785
BDX,TDY,-4.990058738194924,0.00017171266071924337,0.7035076975093952
BDX,LIN,-4.989962938222116,0.00017178217833979998,0.6251818625928224
GDDY,SATS,-4.989833247589805,0.00017187633156131717,-0.4876514028666807
LEN,NXPI,-4.989805305546026,0.00017189662345119605,0.9636479746624377
BDX,CDW,-4.985072769505665,0.00017536657524902817,0.6776767469125442
BDX,MKC,-4.984553919877762,0.00017575103433464266,0.6858501034746183
GDDY,UPS,-4.983841235964938,0.00017628043019064178,0.5187436045820512
AZO,PEP,-4.9761291194741,0.000182107127655638,0.9783430779491589
IBM,TPL,-4.9734805032843274,0.00018415018900751112,0.7788244077511387
BKNG,NWS,-4.97261079006368,0.00018482580506189853,0.8595343105935144
PEP,VTRS,-4.966014124767806,0.00019002763800681015,-0.9085514791631479
IBM,PFG,-4.962613272650036,0.00019276354101003512,0.8739813509880638
ABT,TTD,-4.961806920199235,0.00019341770807167308,0.9705636262683305
BDX,TSCO,-4.961346043172964,0.00019379255062288334,0.609914630117142
LYV,PEG,-4.961077504853748,0.00019401127804838681,0.9159207687366574
